structure_order,job_name,short_label,motif_label,seed_distance_ang,mult,status,numfreq_energy_hartree,min_freq_cm1,n_imag_strict,mode_index,mode_number,frequency_cm1,mode_class,normal_term,structure_color
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,16,17,332.96,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,17,18,333.38,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,18,19,392.7,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,19,20,392.93,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,20,21,405.73,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,21,22,437.64,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,22,23,437.64,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,23,24,453.83,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,24,25,458.66,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,25,26,623.02,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,26,27,623.03,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,27,28,916.33,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,28,29,918.01,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,29,30,1158.0,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,30,31,1158.05,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,31,32,1441.46,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,32,33,1443.96,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,33,34,1650.87,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,34,35,1650.96,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,35,36,1725.31,real,True,#B45309
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,0,1,0.0,zero,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,1,2,0.0,zero,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,2,3,0.0,zero,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,3,4,0.0,zero,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,4,5,0.0,zero,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,5,6,0.0,zero,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,6,7,-2022.99,imaginary,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,7,8,-321.76,imaginary,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,8,9,-132.67,imaginary,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,9,10,-122.87,imaginary,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,10,11,-63.11,imaginary,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,11,12,-18.78,imaginary,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,12,13,15.39,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,13,14,120.84,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,14,15,151.44,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,15,16,168.49,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,16,17,200.36,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,17,18,248.58,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,18,19,394.79,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,19,20,423.03,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,20,21,440.08,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,21,22,441.81,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,22,23,447.97,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,23,24,591.22,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,24,25,606.81,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,25,26,748.77,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,26,27,919.99,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,27,28,923.04,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,28,29,973.98,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,29,30,1022.97,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,30,31,1149.03,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,31,32,1162.87,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,32,33,1277.3,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,33,34,1286.2,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,34,35,1473.14,real,True,#1D4ED8
3,zigzag_chain12_d1.50_m3_r2scan,Zigzag chain12 (M=3),Zigzag chain12,1.5,3,REJECT_IMAG,-297.451682490386,-2022.99,6,35,36,1480.55,real,True,#1D4ED8
